Area,AreaCode,AreaCode2,Grain,Year,Month,LPrice,HPrice
AH,001,,BO,1738, 9, 98,120
AH,001,,BO,1738,10, 99,120
AH,001,,BO,1738,11,100,120
AH,001,,BO,1738,12, 93,120
AH,001,,BO,1739, 1, 90,120
AH,001,,BO,1739, 2, 98,120
AH,001,,BO,1739, 3,100,124
AH,001,,BO,1739, 4,100,121
AH,001,,BO,1739, 9, 90,125
AH,001,,BO,1740, 6, 75,130
AH,001,,BO,1740, 7, 75,130
AH,001,,BO,1740, 8, 75,150
AH,001,,BO,1740, 9, 75,150
AH,001,,BO,1740,10, 75,150
AH,001,,BO,1740,11, 75,150
AH,001,,BO,1740,12, 75,150
AH,001,,BO,1741, 1, 75,150
AH,001,,BO,1741, 2, 75,138
AH,001,,BO,1741, 3, 90,125
AH,001,,BO,1741, 4, 91,125
AH,001,,BO,1741, 5, 75,124
AH,001,,BO,1741, 6, 75,124
AH,001,,BO,1741, 7, 75,124
AH,001,,BO,1741, 8, 74,121
AH,001,,BO,1741, 9, 73,120
AH,001,,BO,1741,10, 74,124
AH,001,,BO,1741,11, 75,125
AH,001,,BO,1741,12, 75,125
AH,001,,BO,1742, 1, 73,125
AH,001,,BO,1742, 2, 73,125
AH,001,,BO,1742, 3, 73,129
AH,001,,BO,1742, 5, 73,130
AH,001,,BO,1742, 6, 73,130
AH,001,,BO,1742, 7, 73,130
AH,001,,BO,1742, 8, 73,130
AH,001,,BO,1742, 9, 73,130
AH,001,,BO,1742,10, 79,136
AH,001,,BO,1742,11,117,141
AH,001,,BO,1742,12,117,145
AH,001,,BO,1743, 1,120,145
AH,001,,BO,1743, 2,120,146
AH,001,,BO,1743, 3,120,150
AH,001,,BO,1743, 5,120,150
AH,001,,BO,1743, 6,120,150
AH,001,,BO,1743, 7,120,150
AH,001,,BO,1743, 8,120,150
AH,001,,BO,1743, 9,120,150
AH,001,,BO,1743,10,120,150
AH,001,,BO,1743,11,120,150
AH,001,,BO,1743,12,120,150
AH,001,,BO,1744, 1,120,150
AH,001,,BO,1744, 2,108,150
AH,001,,BO,1744, 3,112,150
AH,001,,BO,1744, 4,120,150
AH,001,,BO,1744, 5,120,150
AH,001,,BO,1744, 6,117,147
AH,001,,BO,1744, 7,111,145
AH,001,,BO,1744, 8,110,145
AH,001,,BO,1744, 9,110,145
AH,001,,BO,1744,10,110,145
AH,001,,BO,1744,11,107,145
AH,001,,BO,1744,12,105,142
AH,001,,BO,1745, 1,107,142
AH,001,,BO,1745, 2,107,142
AH,001,,BO,1745, 3,107,142
AH,001,,BO,1745, 4,100,142
AH,001,,BO,1745, 5,100,142
AH,001,,BO,1745, 6,100,142
AH,001,,BO,1745, 7,100,142
AH,001,,BO,1745, 8,105,142
AH,001,,BO,1745, 9,130,142
AH,001,,BO,1745,10,121,142
AH,001,,BO,1745,11, 90,140
AH,001,,BO,1745,12, 90,140
AH,001,,BO,1746, 1, 90,140
AH,001,,BO,1746, 2, 96,140
AH,001,,BO,1746, 3,110,140
AH,001,,BO,1746, 4,103,140
AH,001,,BO,1746, 5, 93,140
AH,001,,BO,1746, 6, 97,136
AH,001,,BO,1746, 7, 96,135
AH,001,,BO,1746, 8, 98,140
AH,001,,BO,1746, 9,110,140
AH,001,,BO,1746,10,108,140
AH,001,,BO,1746,11, 98,140
AH,001,,BO,1746,12, 98,140
AH,001,,BO,1747, 1, 98,147
AH,001,,BO,1747, 2, 98,150
AH,001,,BO,1747, 3,113,157
AH,001,,BO,1747, 4,105,160
AH,001,,BO,1747, 5, 98,160
AH,001,,BO,1747, 6, 98,160
AH,001,,BO,1747, 7,119,168
AH,001,,BO,1747, 8,131,170
AH,001,,BO,1747, 9,103,137
AH,001,,BO,1747,10, 98,148
AH,001,,BO,1747,11, 98,150
AH,001,,BO,1747,12, 98,137
AH,001,,BO,1748, 1, 98,150
AH,001,,BO,1748, 2, 98,150
AH,001,,BO,1748, 3, 98,150
AH,001,,BO,1748, 4, 98,150
AH,001,,BO,1748, 5, 98,152
AH,001,,BO,1748, 6, 98,159
AH,001,,BO,1748, 7, 98,154
AH,001,,BO,1748, 8, 98,150
